#year	doy	ET	       T	ES	I	     EC
1998	1	2.017	0.549	0	1.467	1.467
1998	2	1.341	0.453	0.004	0.884	0.888
1998	3	1.128	0.637	0.005	0.487	0.491
1998	4	1.15	0.632	0.007	0.512	0.518
1998	5	1.187	0.655	0.01	0.522	0.532
1998	6	0.642	0.091	0.008	0.544	0.551
1998	7	0.53	0.159	0.012	0.359	0.37
1998	8	0.544	0.295	0.008	0.241	0.248
1998	9	2.231	0.751	0.058	1.422	1.48
1998	10	2.582	0.6	0.029	1.953	1.982
1998	11	2.583	0.618	0.024	1.94	1.964
1998	12	1.697	0.497	0.024	1.175	1.2
1998	13	0.976	0.144	0.013	0.819	0.832
1998	14	0.926	0.3	0.021	0.604	0.626
1998	15	0.612	0.371	0.002	0.24	0.242
1998	16	0.601	0.285	0	0.316	0.316
1998	17	0.507	0.082	0.001	0.424	0.425
1998	18	1.812	0.312	0.006	1.494	1.5
1998	19	0.538	0.321	0	0.217	0.217
1998	20	2.359	0.385	0.007	1.968	1.975
1998	21	2.422	0.429	0.005	1.988	1.993
1998	22	0.465	0.141	0.003	0.321	0.324
1998	23	0.888	0.673	0	0.215	0.215
1998	24	0.46	0.147	0.001	0.312	0.313
1998	25	2.474	0.376	0.006	2.092	2.098
1998	26	2.874	0.365	0.011	2.499	2.509
1998	27	0.566	0.43	0	0.136	0.137
1998	28	0.892	0.286	0.003	0.603	0.606
1998	29	3.391	0.768	0.025	2.598	2.623
1998	30	3.461	0.778	0.029	2.654	2.683
1998	31	2.721	0.518	0.012	2.191	2.203
1998	32	2.941	0.429	0.009	2.503	2.512
1998	33	2.574	0.416	0.016	2.142	2.158
1998	34	0.47	0.078	0.009	0.383	0.392
1998	35	0.64	0.234	0	0.406	0.406
1998	36	0.533	0.106	0.003	0.425	0.427
1998	37	0.747	0.099	0.003	0.646	0.649
1998	38	0.684	0.268	0.002	0.414	0.416
1998	39	2.134	0.632	0.023	1.479	1.502
1998	40	0.633	0.369	0.009	0.254	0.263
1998	41	2.969	0.509	0.013	2.447	2.46
1998	42	3.578	0.214	0.002	3.362	3.364
1998	43	5	0.641	0.041	4.318	4.359
1998	44	1.278	0.75	0.017	0.511	0.528
1998	45	4.35	0.532	0.018	3.799	3.817
1998	46	2.337	0.425	0.011	1.901	1.912
1998	47	2.63	0.295	0.001	2.334	2.335
1998	48	4.532	0.616	0.031	3.885	3.916
1998	49	0.709	0.611	0.05	0.047	0.098
1998	50	2.292	1.054	0.047	1.191	1.238
1998	51	2.999	0.951	0.047	2.001	2.048
1998	52	2.786	1.005	0.043	1.738	1.781
1998	53	2.597	0.718	0.025	1.854	1.879
1998	54	0.825	0.428	0.01	0.387	0.397
1998	55	3.576	1.299	0.051	2.227	2.278
1998	56	3.402	1.358	0.095	1.95	2.045
1998	57	2.929	1.212	0.087	1.63	1.716
1998	58	0.689	0.298	0.034	0.358	0.391
1998	59	2.113	0.689	0.083	1.342	1.424
1998	60	1.839	0.783	0.076	0.979	1.055
1998	61	1.877	0.655	0.056	1.166	1.222
1998	62	1.524	0.67	0.022	0.832	0.854
1998	63	2.021	0.567	0.015	1.44	1.455
1998	64	2.069	0.737	0.025	1.307	1.332
1998	65	1.962	0.545	0.014	1.403	1.417
1998	66	2.559	0.617	0.027	1.915	1.942
1998	67	2.422	0.512	0.053	1.857	1.909
1998	68	2.778	1.051	0.123	1.603	1.726
1998	69	2.853	0.761	0.028	2.065	2.093
1998	70	2.199	0.318	0.006	1.875	1.881
1998	71	2.004	0.438	0.003	1.564	1.566
1998	72	1.721	0.726	0.007	0.987	0.995
1998	73	2.614	1.285	0.047	1.282	1.329
1998	74	2.162	0.957	0.03	1.176	1.206
1998	75	0.704	0.345	0.004	0.355	0.359
1998	76	0.57	0.267	0.002	0.301	0.303
1998	77	1.324	0.647	0.012	0.665	0.677
1998	78	3.302	0.69	0.045	2.568	2.613
1998	79	3.032	0.383	0.054	2.596	2.649
1998	80	1.134	0.338	0.028	0.768	0.797
1998	81	3.123	1.131	0.022	1.969	1.992
1998	82	3.375	1.044	0.024	2.307	2.331
1998	83	3.323	1.268	0.03	2.025	2.055
1998	84	2.077	1.084	0.028	0.965	0.993
1998	85	3.126	1.635	0.112	1.378	1.49
1998	86	3.574	1.743	0.141	1.69	1.831
1998	87	3.301	1.683	0.132	1.486	1.618
1998	88	3.738	1.851	0.191	1.695	1.887
1998	89	3.836	1.904	0.224	1.708	1.931
1998	90	2.135	1.702	0.184	0.249	0.433
1998	91	1.925	1.067	0.166	0.692	0.858
1998	92	2.422	2.145	0.225	0.052	0.277
1998	93	1.252	1.153	0.099	0	0.099
1998	94	0.953	0.634	0.052	0.267	0.319
1998	95	1.816	1.653	0.05	0.113	0.162
1998	96	1.945	1.873	0.072	0	0.072
1998	97	2.013	1.862	0.151	0	0.151
1998	98	2.044	1.85	0.194	0	0.194
1998	99	4.991	1.621	0.184	3.186	3.37
